condition,model_level,objective,candidate_id,r2,baseline_r2
CN->CN,d1,o_max,m025017_o_max_ord28_rk00018,0.4255997422688207,0.4203703523189125
CN->CN,d1,o_max,m001006_o_max_ord4_rk00007,0.4254469388860592,0.4203703523189125
CN->CN,d1,o_max,m024013_o_max_ord27_rk00014,0.4253583815320858,0.4203703523189125
CN->CN,d1,o_max,m003018_o_max_ord6_rk00019,0.4250502557748554,0.4203703523189125
CN->CN,d1,o_max,m022003_o_max_ord25_rk00004,0.4248957669098013,0.4203703523189125
CN->CN,d1,o_max,m001014_o_max_ord4_rk00015,0.4248755869018387,0.4203703523189125
CN->CN,d1,o_min,m059521_o_min_ord15_rk00007,0.4455121839127179,0.4203703523189125
CN->CN,d1,o_min,m060530_o_min_ord16_rk00016,0.442561252286903,0.4203703523189125
CN->CN,d1,o_min,m059526_o_min_ord15_rk00012,0.4423872946825349,0.4203703523189125
CN->CN,d1,o_min,m059534_o_min_ord15_rk00020,0.4417178226551027,0.4203703523189125
CN->CN,d1,o_min,m065533_o_min_ord21_rk00019,0.4417114847975896,0.4203703523189125
CN->CN,d1,o_min,m060524_o_min_ord16_rk00010,0.4415658136045701,0.4203703523189125
CN->CN,d1,o_min,m060515_o_min_ord16_rk00001,0.4415540304595142,0.4203703523189125
CN->CN,d1,o_min,m059527_o_min_ord15_rk00013,0.4413526339599505,0.4203703523189125
CN->CN,d1,o_min,m059523_o_min_ord15_rk00009,0.4406926304007764,0.4203703523189125
CN->CN,d1,o_min,m060527_o_min_ord16_rk00013,0.4406270206752338,0.4203703523189125
CN->CN,d1,o_min,m058528_o_min_ord14_rk00014,0.4405524486845376,0.4203703523189125
CN->CN,d1,o_min,m058527_o_min_ord14_rk00013,0.4394179047152536,0.4203703523189125
CN->CN,d1,o_min,m059518_o_min_ord15_rk00004,0.4393026412040375,0.4203703523189125
CN->CN,d1,o_min,m059516_o_min_ord15_rk00002,0.4391373311588327,0.4203703523189125
CN->CN,d1,o_min,m060519_o_min_ord16_rk00005,0.4390963072176532,0.4203703523189125
CN->CN,d1,o_min,m060522_o_min_ord16_rk00008,0.4390863756612791,0.4203703523189125
CN->CN,d1,o_min,m065522_o_min_ord21_rk00008,0.4388892661030842,0.4203703523189125
CN->CN,d1,o_min,m060516_o_min_ord16_rk00002,0.4387791689197643,0.4203703523189125
CN->CN,d1,o_min,m050534_o_min_ord6_rk00020,0.4383234850641412,0.4203703523189125
CN->CN,d1,o_min,m059522_o_min_ord15_rk00008,0.4383213024991603,0.4203703523189125
CN->CN,d2,o_max,m021018_o_max_ord24_rk00019,0.4360851020299965,0.4151294876877847
CN->CN,d2,o_max,m021013_o_max_ord24_rk00014,0.4343360523799298,0.4151294876877847
CN->CN,d2,o_max,m021003_o_max_ord24_rk00004,0.4297289665716467,0.4151294876877847
CN->CN,d2,o_max,m024001_o_max_ord27_rk00002,0.4278740040719433,0.4151294876877847
CN->CN,d2,o_max,m022017_o_max_ord25_rk00018,0.4277499834600615,0.4151294876877847
CN->CN,d2,o_max,m023016_o_max_ord26_rk00017,0.4274499386906587,0.4151294876877847
CN->CN,d2,o_max,m024010_o_max_ord27_rk00011,0.4263359976595462,0.4151294876877847
CN->CN,d2,o_max,m020014_o_max_ord23_rk00015,0.4256783710527789,0.4151294876877847
CN->CN,d2,o_max,m001004_o_max_ord4_rk00005,0.4254719276843477,0.4151294876877847
CN->CN,d2,o_max,m027008_o_max_ord30_rk00009,0.4254017259925159,0.4151294876877847
CN->CN,d2,o_max,m026017_o_max_ord29_rk00018,0.4252450554981019,0.4151294876877847
CN->CN,d2,o_max,m025003_o_max_ord28_rk00004,0.4245568783107927,0.4151294876877847
CN->CN,d2,o_max,m025007_o_max_ord28_rk00008,0.4240975531519166,0.4151294876877847
CN->CN,d2,o_max,m000013_o_max_ord3_rk00014,0.4212477553879715,0.4151294876877847
CN->CN,d2,o_max,m027019_o_max_ord30_rk00020,0.4209268435551317,0.4151294876877847
CN->CN,d2,o_max,m022011_o_max_ord25_rk00012,0.4209180686498767,0.4151294876877847
CN->CN,d2,o_max,m003016_o_max_ord6_rk00017,0.4204949334645749,0.4151294876877847
CN->CN,d2,o_max,m024017_o_max_ord27_rk00018,0.4204562885087917,0.4151294876877847
CN->CN,d2,o_max,m001008_o_max_ord4_rk00009,0.4191145539793871,0.4151294876877847
CN->CN,d2,o_max,m023004_o_max_ord26_rk00005,0.418398479174824,0.4151294876877847
CN->CN,d2,o_min,m050526_o_min_ord6_rk00012,0.454184932025766,0.4151294876877847
